instant,season,yr,mnth,day,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
80,winter,2011,1,04,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57
81,winter,2011,1,04,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78
82,winter,2011,1,04,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97
83,winter,2011,1,04,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63
84,winter,2011,1,04,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65
85,winter,2011,1,04,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83
86,winter,2011,1,04,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212
87,winter,2011,1,04,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182
88,winter,2011,1,04,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112
89,winter,2011,1,04,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54
90,winter,2011,1,04,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48
91,winter,2011,1,04,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35
92,winter,2011,1,04,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11
93,winter,2011,1,05,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6
94,winter,2011,1,05,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6
95,winter,2011,1,05,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2
96,winter,2011,1,05,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2
97,winter,2011,1,05,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3
98,winter,2011,1,05,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33
99,winter,2011,1,05,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88
100,winter,2011,1,05,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195
101,winter,2011,1,05,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115
102,winter,2011,1,05,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57
103,winter,2011,1,05,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46
104,winter,2011,1,05,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79
105,winter,2011,1,05,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71
106,winter,2011,1,05,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62
107,winter,2011,1,05,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62
108,winter,2011,1,05,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89
109,winter,2011,1,05,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190
110,winter,2011,1,05,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169
111,winter,2011,1,05,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132
112,winter,2011,1,05,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89
113,winter,2011,1,05,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43
114,winter,2011,1,05,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42
115,winter,2011,1,05,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19
116,winter,2011,1,06,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11
117,winter,2011,1,06,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4
118,winter,2011,1,06,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2
119,winter,2011,1,06,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1
120,winter,2011,1,06,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4
121,winter,2011,1,06,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36
122,winter,2011,1,06,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95
123,winter,2011,1,06,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219
124,winter,2011,1,06,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122
125,winter,2011,1,06,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45
126,winter,2011,1,06,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59
127,winter,2011,1,06,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84
128,winter,2011,1,06,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67
129,winter,2011,1,06,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70
130,winter,2011,1,06,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62
131,winter,2011,1,06,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86
132,winter,2011,1,06,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172
133,winter,2011,1,06,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163
134,winter,2011,1,06,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112
135,winter,2011,1,06,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69
136,winter,2011,1,06,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48
137,winter,2011,1,06,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52
138,winter,2011,1,06,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23
139,winter,2011,1,07,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17
140,winter,2011,1,07,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7
141,winter,2011,1,07,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1
142,winter,2011,1,07,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1
143,winter,2011,1,07,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5
144,winter,2011,1,07,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34
145,winter,2011,1,07,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84
146,winter,2011,1,07,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210
147,winter,2011,1,07,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134
148,winter,2011,1,07,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63
149,winter,2011,1,07,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67
150,winter,2011,1,07,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59
151,winter,2011,1,07,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73
152,winter,2011,1,07,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50
153,winter,2011,1,07,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72
154,winter,2011,1,07,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87
155,winter,2011,1,07,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187
156,winter,2011,1,07,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123
157,winter,2011,1,07,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95
158,winter,2011,1,07,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51
159,winter,2011,1,07,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39
160,winter,2011,1,07,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36
161,winter,2011,1,07,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15
162,winter,2011,1,08,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25
163,winter,2011,1,08,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16
164,winter,2011,1,08,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16
165,winter,2011,1,08,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7
166,winter,2011,1,08,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1
167,winter,2011,1,08,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5
168,winter,2011,1,08,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2
169,winter,2011,1,08,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9
170,winter,2011,1,08,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15
171,winter,2011,1,08,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20
172,winter,2011,1,08,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61
173,winter,2011,1,08,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62
174,winter,2011,1,08,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98
175,winter,2011,1,08,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102
176,winter,2011,1,08,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95
177,winter,2011,1,08,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74
178,winter,2011,1,08,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76
179,winter,2011,1,08,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69
180,winter,2011,1,08,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55
181,winter,2011,1,08,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30
182,winter,2011,1,08,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28
183,winter,2011,1,08,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37
184,winter,2011,1,08,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34
185,winter,2011,1,08,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22
186,winter,2011,1,09,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25
187,winter,2011,1,09,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12
188,winter,2011,1,09,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11
189,winter,2011,1,09,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4
190,winter,2011,1,09,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1
191,winter,2011,1,09,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1
192,winter,2011,1,09,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1
193,winter,2011,1,09,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6
194,winter,2011,1,09,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10
195,winter,2011,1,09,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19
196,winter,2011,1,09,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49
197,winter,2011,1,09,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49
198,winter,2011,1,09,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83
199,winter,2011,1,09,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75
200,winter,2011,1,09,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72
201,winter,2011,1,09,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82
202,winter,2011,1,09,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92
203,winter,2011,1,09,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62
204,winter,2011,1,09,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48
205,winter,2011,1,09,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41
206,winter,2011,1,09,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38
207,winter,2011,1,09,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20
208,winter,2011,1,09,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15
209,winter,2011,1,09,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6
210,winter,2011,1,10,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5
211,winter,2011,1,10,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1
212,winter,2011,1,10,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3
213,winter,2011,1,10,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1
214,winter,2011,1,10,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3
215,winter,2011,1,10,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3
216,winter,2011,1,10,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31
217,winter,2011,1,10,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77
218,winter,2011,1,10,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188
219,winter,2011,1,10,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94
220,winter,2011,1,10,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31
221,winter,2011,1,10,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30
222,winter,2011,1,10,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52
223,winter,2011,1,10,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54
224,winter,2011,1,10,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47
225,winter,2011,1,10,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45
226,winter,2011,1,10,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74
227,winter,2011,1,10,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178
228,winter,2011,1,10,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155
229,winter,2011,1,10,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95
230,winter,2011,1,10,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74
231,winter,2011,1,10,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38
232,winter,2011,1,10,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24
233,winter,2011,1,10,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18
234,winter,2011,1,11,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12
235,winter,2011,1,11,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3
236,winter,2011,1,11,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3
237,winter,2011,1,11,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6
238,winter,2011,1,11,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27
239,winter,2011,1,11,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99
240,winter,2011,1,11,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217
241,winter,2011,1,11,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130
242,winter,2011,1,11,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54
243,winter,2011,1,11,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35
244,winter,2011,1,11,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57
245,winter,2011,1,11,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52
246,winter,2011,1,11,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63
247,winter,2011,1,11,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47
248,winter,2011,1,11,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76
249,winter,2011,1,11,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136
250,winter,2011,1,11,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95
251,winter,2011,1,11,19,0,2,1,3,0.16,0.2273,0.93,0.0,0,51,51
252,winter,2011,1,11,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32
253,winter,2011,1,11,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20
254,winter,2011,1,11,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29
255,winter,2011,1,11,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19
256,winter,2011,1,12,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7
257,winter,2011,1,12,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6
258,winter,2011,1,12,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1
259,winter,2011,1,12,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5
260,winter,2011,1,12,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16
261,winter,2011,1,12,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54
262,winter,2011,1,12,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128
263,winter,2011,1,12,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81
264,winter,2011,1,12,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39
265,winter,2011,1,12,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35
266,winter,2011,1,12,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55
267,winter,2011,1,12,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49
268,winter,2011,1,12,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44
269,winter,2011,1,12,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49
270,winter,2011,1,12,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63,68
271,winter,2011,1,12,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139
272,winter,2011,1,12,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,137
273,winter,2011,1,12,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82,83
274,winter,2011,1,12,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54,56
275,winter,2011,1,12,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57,57
276,winter,2011,1,12,22,0,3,1,1,0.16,0.1212,0.55,0.4478,1,32,33
277,winter,2011,1,12,23,0,3,1,1,0.14,0.1061,0.59,0.4179,1,19,20
278,winter,2011,1,13,0,0,4,1,1,0.14,0.1212,0.59,0.2836,1,6,7
279,winter,2011,1,13,1,0,4,1,1,0.14,0.1212,0.5,0.2836,0,2,2
280,winter,2011,1,13,2,0,4,1,1,0.14,0.1212,0.5,0.3582,0,2,2
281,winter,2011,1,13,3,0,4,1,1,0.14,0.1212,0.5,0.3284,0,3,3
282,winter,2011,1,13,4,0,4,1,1,0.14,0.1212,0.5,0.2537,0,4,4
283,winter,2011,1,13,5,0,4,1,1,0.14,0.1212,0.5,0.2985,0,3,3
284,winter,2011,1,13,6,0,4,1,1,0.12,0.1515,0.54,0.1343,0,28,28
285,winter,2011,1,13,7,0,4,1,1,0.12,0.1515,0.54,0.1343,0,72,72
286,winter,2011,1,13,8,0,4,1,1,0.14,0.1364,0.5,0.194,5,197,202
287,winter,2011,1,13,9,0,4,1,1,0.14,0.1212,0.5,0.3284,2,137,139
288,winter,2011,1,13,10,0,4,1,2,0.16,0.1364,0.5,0.3582,2,36,38
289,winter,2011,1,13,11,0,4,1,2,0.2,0.1667,0.44,0.4478,4,33,37
290,winter,2011,1,13,12,0,4,1,1,0.2,0.1667,0.44,0.4179,3,49,52
291,winter,2011,1,13,13,0,4,1,1,0.22,0.197,0.41,0.4478,2,81,83
292,winter,2011,1,13,14,0,4,1,1,0.22,0.197,0.41,0.3881,3,39,42
293,winter,2011,1,13,15,0,4,1,1,0.24,0.2121,0.38,0.2985,5,55,60
294,winter,2011,1,13,16,0,4,1,1,0.24,0.2121,0.38,0.3582,2,76,78
295,winter,2011,1,13,17,0,4,1,1,0.2,0.1818,0.4,0.2836,4,158,162
296,winter,2011,1,13,18,0,4,1,1,0.2,0.1818,0.4,0.3284,3,141,144
297,winter,2011,1,13,19,0,4,1,1,0.16,0.1515,0.47,0.2537,1,98,99
298,winter,2011,1,13,20,0,4,1,1,0.16,0.1515,0.47,0.2239,0,64,64
299,winter,2011,1,13,21,0,4,1,1,0.14,0.1212,0.46,0.2985,0,40,40
300,winter,2011,1,13,22,0,4,1,1,0.14,0.1212,0.46,0.3284,0,30,30
301,winter,2011,1,13,23,0,4,1,1,0.12,0.1364,0.5,0.194,1,14,15
302,winter,2011,1,14,0,0,5,1,1,0.12,0.1364,0.5,0.194,0,14,14
303,winter,2011,1,14,1,0,5,1,1,0.1,0.1212,0.54,0.1642,0,5,5
